ICD10 章,標準病名,代表・同義,ICD10コード,交換コード,関係,ICD11 Foundation URI,関係,MMS
13,ＭＲＳＡ肩関節炎,L,M0001,PU71,=,http://id.who.int/icd/entity/494376064 / http://id.who.int/icd/entity/1710270895,=,FA10.0 & XA05J7 / MG51.00
13,MRSA肩関節炎,S0,M0001,PU71,=,http://id.who.int/icd/entity/494376064 / http://id.who.int/icd/entity/1710270895,=,FA10.0 & XA05J7 / MG51.00
13,メチシリン耐性黄色ブドウ球菌肩関節炎,S1,M0001,PU71,=,http://id.who.int/icd/entity/494376064 / http://id.who.int/icd/entity/1710270895,=,FA10.0 & XA05J7 / MG51.00
13,ＭＲＳＡ肘関節炎,L,M0002,JUMM,=,http://id.who.int/icd/entity/1592823611 / http://id.who.int/icd/entity/1710270895 ,=,FA10.0 & XA69H4 / MG51.00
13,MRSA肘関節炎,S0,M0002,JUMM,=,http://id.who.int/icd/entity/1592823611 / http://id.who.int/icd/entity/1710270895 ,=,FA10.0 & XA69H4 / MG51.00
13,メチシリン耐性黄色ブドウ球菌肘関節炎,S1,M0002,JUMM,=,http://id.who.int/icd/entity/1592823611 / http://id.who.int/icd/entity/1710270895 ,=,FA10.0 & XA69H4 / MG51.00
13,ＭＲＳＡ股関節炎,L,M0005,E09T,=,http://id.who.int/icd/entity/663286617 / http://id.who.int/icd/entity/1710270895,=,FA10.0 & XA4XS4 / MG51.00
13,MRSA股関節炎,S0,M0005,E09T,=,http://id.who.int/icd/entity/663286617 / http://id.who.int/icd/entity/1710270895,=,FA10.0 & XA4XS4 / MG51.00
13,メチシリン耐性黄色ブドウ球菌股関節炎,S1,M0005,E09T,=,http://id.who.int/icd/entity/663286617 / http://id.who.int/icd/entity/1710270895,=,FA10.0 & XA4XS4 / MG51.00
13,ぶどう球菌性股関節炎,L,M0005,J9FD,=,http://id.who.int/icd/entity/663286617,=,FA10.0 & XA4XS4 & XN9ZG
13,ぶどう球菌性膝関節炎,L,M0006,EFHV,=,http://id.who.int/icd/entity/1127484090 & http://id.who.int/icd/entity/428956900     ,=,FA10.0 & XA8RL1  & XN9ZG
13,ＭＲＳＡ膝関節炎,L,M0006,N9P3,=,http://id.who.int/icd/entity/1127484090 / http://id.who.int/icd/entity/1710270895       ,=,FA10.0 & XA8RL1 / MG51.00
13,MRSA膝関節炎,S0,M0006,N9P3,=,http://id.who.int/icd/entity/444406497 / http://id.who.int/icd/entity/1710270895       ,=,FA10.0 & XA8RL1 / MG51.00
13,メチシリン耐性黄色ブドウ球菌膝関節炎,S1,M0006,N9P3,=,http://id.who.int/icd/entity/444406497 / http://id.who.int/icd/entity/1710270895       ,=,FA10.0 & XA8RL1 / MG51.00
13,ぶどう球菌性関節炎,L,M0009,RFKV,=,http://id.who.int/icd/entity/782978104,=,FA10.0 & XN9ZG
13,ブドウ球菌性関節炎,S1,M0009,RFKV,=,http://id.who.int/icd/entity/782978104,=,FA10.0 & XN9ZG
13,ＭＲＳＡ関節炎,L,M0009,SRL4,=,http://id.who.int/icd/entity/782978104 / http://id.who.int/icd/entity/1710270895 ,=,FA10.0 / MG51.00
13,MRSA関節炎,S0,M0009,SRL4,=,http://id.who.int/icd/entity/782978104 / http://id.who.int/icd/entity/1710270895 ,=,FA10.0 / MG51.00
13,肺炎球菌性関節炎,L,M0019,RD39,=,http://id.who.int/icd/entity/33350376,=,A10.0 & XN3PW
13,Ｂ群溶連菌性化膿性股関節炎,L,M0025,B7MF,=,http://id.who.int/icd/entity/663956321 & http://id.who.int/icd/entity/942223947 ,=,FA10.0 & XA4XS4 & XN2M1
13,B群溶連菌性化膿性股関節炎,S0,M0025,B7MF,=,http://id.who.int/icd/entity/663956321 & http://id.who.int/icd/entity/942223947 ,=,FA10.0 & XA4XS4 & XN2M1
13,GBS化膿性股関節炎,S1,M0025,B7MF,=,http://id.who.int/icd/entity/663956321 & http://id.who.int/icd/entity/942223947 ,=,FA10.0 & XA4XS4 & XN2M1
13,連鎖球菌性関節炎,L,M0029,C9PL,=,http://id.who.int/icd/entity/216184590 & http://id.who.int/icd/entity/1997317917 ,=,FA10.0 & XN3NM
13,れんさ球菌性関節炎,S1,M0029,C9PL,=,http://id.who.int/icd/entity/216184590 & http://id.who.int/icd/entity/1997317917 ,=,FA10.0 & XN3NM
13,インフルエンザ菌性関節炎,L,M0089,PSSA,=,http://id.who.int/icd/entity/216184590 & http://id.who.int/icd/entity/675811104,=,FA10.0 & XN1P6
13,化膿性関節炎・肩関節,L,M0091,SLJR,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/719727487 ,=,FA10.Z & XA05J7
13,化膿性肩関節炎,S1,M0091,SLJR,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/719727487 ,=,FA10.Z & XA05J7
13,化膿性関節炎・胸鎖関節,L,M0091,V0TG,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/845271451 ,=,FA10.Z & XA0CH1 
13,化膿性胸鎖関節炎,S1,M0091,V0TG,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/845271451 ,=,FA10.Z & XA0CH1 
13,化膿性関節炎・肘関節,L,M0092,GGJN,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/1364152594 ,=,FA10.Z & XA69H4
13,化膿性肘関節炎,S1,M0092,GGJN,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/1364152594 ,=,FA10.Z & XA69H4
13,化膿性関節炎・手関節,L,M0093,A7QC,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/1768750843,=,FA10.Z & XA64C3
13,化膿性手関節炎,S1,M0093,A7QC,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/1768750843,=,FA10.Z & XA64C3
13,化膿性関節炎・指関節,L,M0094,UE5P,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/951955211 ,=,FA10.Z & XA9291
13,化膿性関節炎・股関節,L,M0095,SMSK,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/1188078244,=,FA10.Z & XA4XS4
13,化膿性股関節炎,S1,M0095,SMSK,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/1188078244,=,FA10.Z & XA4XS4
13,化膿性関節炎・仙腸関節,L,M0095,TT8P,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/428919892 ,=,FA10.Z & XA3T32
13,化膿性仙腸関節炎,S1,M0095,TT8P,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/428919892 ,=,FA10.Z & XA3T32
13,化膿性関節炎・膝関節,L,M0096,SN24,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/1574110781,=,FA10.Z & XA8RL1
13,化膿性膝関節炎,S1,M0096,SN24,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/1574110781,=,FA10.Z & XA8RL1
13,化膿性関節炎・足関節,L,M0097,T987,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/2000483733,=,FA10.Z & XA27P3
13,化膿性足関節炎,S1,M0097,T987,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/2000483733,=,FA10.Z & XA27P3
13,化膿性関節炎・趾関節,L,M0097,VKL1,=,http://id.who.int/icd/entity/622473950 & http://id.who.int/icd/entity/1313102037 ,=,FA10.Z & XA04T7
13,化膿性関節炎,L,M0099,DH8H,=,http://id.who.int/icd/entity/622473950,=,FA10.Z
13,関節化膿症,S1,M0099,DH8H,=,http://id.who.int/icd/entity/622473950,=,FA10.Z
13,関節膿瘍,L,M0099,F3R5,=,http://id.who.int/icd/entity/622473950 ,=,FA10.Z
13,関節周囲膿瘍,S2,M0099,F3R5,<,http://id.who.int/icd/entity/622473950 ,<,FA10.Z
13,感染性関節炎,L,M0099,JCA8,=,http://id.who.int/icd/entity/622473950 ,=,FA10.Z
13,赤痢後関節障害,L,M0219,TN5L,=,http://id.who.int/icd/entity/478382681 ,=,FA12.Y / 1A02
13,予防接種後関節障害,L,M0229,R7Q1,=,http://id.who.int/icd/entity/1747901096,=,FA11.1 
13,反応性関節炎,L,M0239,SVPV,=,http://id.who.int/icd/entity/1370972705 ,=,FA11.Z
13,ライター症候群,S1,M0239,SVPV,=,http://id.who.int/icd/entity/594689864 ,=,FA11.2
13,REITER症候群,S1,M0239,SVPV,=,http://id.who.int/icd/entity/594689864 ,=,FA11.2
13,反応性関節障害,L,M0299,ENNB,=,http://id.who.int/icd/entity/1370972705 ,=,FA11.Z
13,フェルティー症候群,L,M0500,ATTM,=,http://id.who.int/icd/entity/1118910093,<,FA20.0
13,フェルティ症候群,S1,M0500,ATTM,=,http://id.who.int/icd/entity/1118910093,<,FA20.0
13,FELTY症候群,S1,M0500,ATTM,=,http://id.who.int/icd/entity/1118910093,<,FA20.0
13,脾腫性多発性関節炎,S2,M0500,ATTM,<,http://id.who.int/icd/entity/1118910093,<,FA20.0
13,リウマチ性肺疾患,L,M0510,AUHR,=,http://id.who.int/icd/entity/2000006803,=,CB05.1 / FA20.Z
13,関節リウマチ性間質性肺炎,L,M0510,EB0H,=,http://id.who.int/icd/entity/2000006803,=,CB05.1 / FA20.Z
13,リウマチ性間質性肺炎,S1,M0510,EB0H,=,http://id.who.int/icd/entity/2000006803,=,CB05.1 / FA20.Z
13,リウマトイド肺,S1,M0510,EB0H,=,http://id.who.int/icd/entity/2000006803,=,CB05.1 / FA20.Z
13,関節リウマチによる間質性肺炎,S1,M0510,EB0H,=,http://id.who.int/icd/entity/2000006803,=,CB05.1 / FA20.Z
