ICD10 章,標準病名,代表・同義,ICD10コード,交換コード,関係,ICD11 Foundation URI,関係,MMS
8,外耳道膿瘍,L,H600,M9NA,=,http://id.who.int/icd/entity/63405569,=,AA00 & XA3UC1
8,耳せつ,S2,H600,M9NA,=,http://id.who.int/icd/entity/1081137172 &  http://id.who.int/icd/entity/768242906,=,1B75.0 &XA6ZY6
8,耳介せつ,S2,H600,M9NA,=,http://id.who.int/icd/entity/1081137172  & http://id.who.int/icd/entity/2030796271,=,1B75.0 & XA4E71 
8,耳介よう,S2,H600,M9NA,=,http://id.who.int/icd/entity/1456834066 & http://id.who.int/icd/entity/2030796271,=,1B75.1 & XA4E71 
8,外耳道よう,S2,H600,M9NA,=,http://id.who.int/icd/entity/1456834066  &  http://id.who.int/icd/entity/1296498321,=,1B75.1 & XA3UC1
8,耳膿瘍,S2,H600,M9NA,=,http://id.who.int/icd/entity/726212135,=,AA00 
8,耳介膿瘍,S2,H600,M9NA,=,http://id.who.int/icd/entity/259296782,=,AA00 & XA4E71 
8,外耳道せつ,S2,H600,M9NA,=,http://id.who.int/icd/entity/1081137172 &  http://id.who.int/icd/entity/1296498321,=,1B75.0 & XA3UC1
8,外耳の膿瘍,S2,H600,M9NA,=,http://id.who.int/icd/entity/726212135,=,AA00 
8,耳介蜂巣炎,L,H601,CCA5,=,http://id.who.int/icd/entity/484945214,=,AA01 & XA4E71
8,耳介蜂窩織炎,S1,H601,CCA5,=,http://id.who.int/icd/entity/484945214,=,AA01 & XA4E71
8,外耳道蜂巣炎,L,H601,KSDF,=,http://id.who.int/icd/entity/9391742,=,AA01 & XA3UC1
8,外耳道蜂窩織炎,S1,H601,KSDF,=,http://id.who.int/icd/entity/9391742,=,AA01 & XA3UC1
8,外耳の蜂巣炎,S1,H601,KSDF,=,http://id.who.int/icd/entity/1308808115,=,AA01
8,壊死性外耳炎,L,H602,GB5A,=,http://id.who.int/icd/entity/984580942,=,AA02
8,え死性外耳炎,S1,H602,GB5A,=,http://id.who.int/icd/entity/984580942,=,AA02
8,緑膿菌性外耳炎,L,H602,L815,=,http://id.who.int/icd/entity/2035326404 & http://id.who.int/icd/entity/1811342866,=,AA0Z & XN5L6
8,悪性外耳炎,L,H602,S74V,=,http://id.who.int/icd/entity/984580942,=,AA02
8,悪性外耳道炎,S1,H602,S74V,=,http://id.who.int/icd/entity/984580942 & http://id.who.int/icd/entity/1296498321,=,AA02 & XA3UC1
8,感染性外耳炎,L,H603,B3K1,=,http://id.who.int/icd/entity/2035326404,=,AA0Z
8,スイマーズイヤー,S2,H603,B3K1,=,http://id.who.int/icd/entity/837295519,<,AA0Y 
8,耳部感染症,S2,H603,B3K1,=, http://id.who.int/icd/entity/2035326404 ,=,AA0Z 
8,外耳道感染症,S2,H603,B3K1,=,http://id.who.int/icd/entity/2035326404 & http://id.who.int/icd/entity/1296498321 ,=,AA0Z & XA3UC1
8,びまん性外耳炎,L,H603,FU1H,=,http://id.who.int/icd/entity/1303990434 & http://id.who.int/icd/entity/1265853763,=,AA3Z & XK31
8,びまん性外耳道炎,S1,H603,FU1H,=,http://id.who.int/icd/entity/1303990434 & http://id.who.int/icd/entity/1296498321 & http://id.who.int/icd/entity/1265853763 ,=,AA3Z  & XA3UC1 & XK31
8,出血性外耳炎,L,H603,GBFA,=,http://id.who.int/icd/entity/1303990434 / http://id.who.int/icd/entity/940081636,=,AA3Y / MG27
8,急性化膿性外耳炎,L,H603,V9NU,<,http://id.who.int/icd/entity/2035326404 & http://id.who.int/icd/entity/786106375,<,AA0Y & XT5R
8,外耳道真珠腫,L,H604,C4NQ,=,http://id.who.int/icd/entity/738909516,=,AA40.2
8,外耳道閉塞性角化症,L,H604,EER1,=,http://id.who.int/icd/entity/634950675 & http://id.who.int/icd/entity/1296498321 ,<,AA4Y & XA3UC1
8,閉塞性角化症,S1,H604,EER1,=,http://id.who.int/icd/entity/634950675,<,AA4Y
8,急性外耳炎,L,H605,BHUJ,=,http://id.who.int/icd/entity/1303990434 & http://id.who.int/icd/entity/786106375,=,AA3Z & XT5R
8,急性外耳道炎,S1,H605,BHUJ,=,http://id.who.int/icd/entity/1303990434 & http://id.who.int/icd/entity/1296498321 & http://id.who.int/icd/entity/786106375,=,AA3Z  & XA3UC1 & XT5R
8,急性光線性外耳炎,L,H605,BMD2,=,http://id.who.int/icd/entity/1229000922 / http://id.who.int/icd/entity/654408969,=,AA11 
8,急性接触性外耳炎,L,H605,FG2K,=,http://id.who.int/icd/entity/1229000922 / http://id.who.int/icd/entity/1354031297,=,AA11 / EG40 
8,化学性急性外耳炎,L,H605,GKJS,<,http://id.who.int/icd/entity/1229000922,<,AA11
8,急性反応性外耳炎,L,H605,KP9Q,=,http://id.who.int/icd/entity/1229000922,=,AA11
8,アレルギー性外耳道炎,L,H605,KQRD,=,http://id.who.int/icd/entity/94282662 & http://id.who.int/icd/entity/1296498321,=,EG40.0 & XA3UC1
8,非感染性急性外耳炎,L,H605,RLD8,=,http://id.who.int/icd/entity/1229000922,=,AA11
8,耳介周囲湿疹,L,H605,S2FC,<,http://id.who.int/icd/entity/1229000922 & http://id.who.int/icd/entity/1070102426 ,<,AA11 & XA9E26
8,耳介耳周囲湿疹,S2,H605,S2FC,<,http://id.who.int/icd/entity/1229000922 & http://id.who.int/icd/entity/1070102426 ,<,AA11 & XA9E26
8,耳介部皮膚炎,L,H605,SSTV,=,http://id.who.int/icd/entity/1229000922 & http://id.who.int/icd/entity/1070102426 ,=,AA11 & XA9E26
8,耳介湿疹,S1,H605,SSTV,=, http://id.who.int/icd/entity/436033391 & http://id.who.int/icd/entity/1070102426 ,=,AA11 & XA9E26
8,外耳湿疹,L,H605,TAGV,=,http://id.who.int/icd/entity/436033391,=,AA1Z
8,外耳道湿疹,S1,H605,TAGV,=,http://id.who.int/icd/entity/436033391 & http://id.who.int/icd/entity/1296498321,=,AA1Z & XA3UC1 
8,外耳道耳介湿疹,S1,H605,TAGV,=,http://id.who.int/icd/entity/436033391 & http://id.who.int/icd/entity/1296498321 & http://id.who.int/icd/entity/2030796271,=,AA1Z & XA3UC1 & XA4E71 
8,急性湿疹性外耳炎,L,H605,VG44,=,http://id.who.int/icd/entity/1229000922  ,=,AA11
8,慢性外耳炎,L,H608,GT97,=,http://id.who.int/icd/entity/634296561,=,AA13 
8,外耳道肉芽腫,L,H609,CEAM,=,http://id.who.int/icd/entity/647260534 & http://id.who.int/icd/entity/1296498321 ,=,EE8Z & XA3UC1
8,限局性外耳道炎,L,H609,LDLG,=,http://id.who.int/icd/entity/1303990434 & http://id.who.int/icd/entity/1296498321 & http://id.who.int/icd/entity/1303990434,=,AA3Z  & XA3UC1  & XK9A 
8,外耳炎,L,H609,QPG2,=,http://id.who.int/icd/entity/1303990434,=,AA3Z 
8,外耳道皮膚炎,S1,H609,QPG2,=,http://id.who.int/icd/entity/1303990434 &  http://id.who.int/icd/entity/1070102426,=,AA3Z & XA9E26
8,外耳道炎,S1,H609,QPG2,=,http://id.who.int/icd/entity/1303990434 & http://id.who.int/icd/entity/1296498321 ,=,AA3Z & XA3UC1
8,外耳道耳介炎,S2,H609,QPG2,=,http://id.who.int/icd/entity/1303990434 & http://id.who.int/icd/entity/1296498321 & http://id.who.int/icd/entity/2030796271,=,AA3Z  & XA3UC1 & XA4E71
8,外耳道周囲炎,S2,H609,QPG2,<,http://id.who.int/icd/entity/1303990434 & http://id.who.int/icd/entity/1296498321 ,=,AA3Z & XA3UC1
8,外耳道痛,L,H609,V571,=,http://id.who.int/icd/entity/1303990434 & http://id.who.int/icd/entity/1296498321   / http://id.who.int/icd/entity/661232217,=,AA3Z & XA3UC1 / MG3Z 
8,外耳道軟骨炎,L,H610,AQF9,=,http://id.who.int/icd/entity/934401704,=,AA04
8,外耳の軟骨膜炎,S2,H610,AQF9,=,http://id.who.int/icd/entity/934401704,=,AA04
8,耳介軟骨膜炎,L,H610,S08P,=,http://id.who.int/icd/entity/934401704,=,AA04
8,耳介周囲炎,S2,H610,S08P,<,http://id.who.int/icd/entity/934401704,<,AA04
8,慢性結節性耳輪軟骨皮膚炎,S2,H610,S08P,=,http://id.who.int/icd/entity/553126222 ,=,AA12
8,耳介瘻,L,H611,KD3L,=,http://id.who.int/icd/entity/1685830948 ,<,AA4Y
8,耳介瘻孔,S1,H611,KD3L,=,http://id.who.int/icd/entity/1685830948 ,<,AA4Y
8,耳介非感染性障害,S2,H611,KD3L,=,http://id.who.int/icd/entity/2031277350,=,AA4Z
8,耳垢栓塞,L,H612,JM3P,=,http://id.who.int/icd/entity/643255245,=,AA42 
8,耳垢栓,S1,H612,JM3P,=,http://id.who.int/icd/entity/643255245,=,AA42 
8,耳垢栓塞(症),S1,H612,JM3P,=,http://id.who.int/icd/entity/643255245,=,AA42 
8,耳垢症,S1,H612,JM3P,=,http://id.who.int/icd/entity/643255245,=,AA42 
8,耳垢(症),S1,H612,JM3P,=,http://id.who.int/icd/entity/643255245,=,AA42 
8,耳垢栓塞症,S1,H612,JM3P,=,http://id.who.int/icd/entity/643255245,=,AA42 
8,耳垢,S1,H612,JM3P,=,http://id.who.int/icd/entity/643255245,=,AA42 
8,みみあか,S1,H612,JM3P,=,http://id.who.int/icd/entity/643255245,=,AA42 
8,複雑耳垢,L,H612,MV14,<,http://id.who.int/icd/entity/643255245,<,AA42 
8,軟耳垢,L,H612,QA5V,=,http://id.who.int/icd/entity/643255245,=,AA42
8,後天性外耳道狭窄,L,H613,U8EL,=,http://id.who.int/icd/entity/1125942873,=,AA40.1
8,外傷性外耳道狭窄症,L,H613,V2R5,<,http://id.who.int/icd/entity/1125942873 ,<,AA40.1 
8,耳瘻孔,L,H618,BDPJ,=,http://id.who.int/icd/entity/1685830948 ,<,AA4Y
8,耳瘻,S1,H618,BDPJ,=,http://id.who.int/icd/entity/1685830948 ,<,AA4Y
8,耳介部腫瘤,L,H618,E7J6,<,http://id.who.int/icd/entity/1392122674,<,AA41.Y
8,耳介後部腫脹,L,H618,E7RK,<,http://id.who.int/icd/entity/1392122674,<,AA41.Y
8,サーファーズイヤー,L,H618,KHT8,=,http://id.who.int/icd/entity/1204993220 ,<,AA4Y 
8,サーファーズイア,S1,H618,KHT8,=,http://id.who.int/icd/entity/1204993220 ,<,AA4Y 
8,サーファーズ・イア,S1,H618,KHT8,=,http://id.who.int/icd/entity/1204993220 ,<,AA4Y 
8,外耳道外骨腫,S1,H618,KHT8,=,http://id.who.int/icd/entity/1305314739,=,AA40.0
8,外耳道腫瘤,L,H618,M8AD,=,http://id.who.int/icd/entity/1773110354　,=,AA40.Y
8,外耳道掻創,L,H618,MLU1,=,http://id.who.int/icd/entity/1212937040 & http://id.who.int/icd/entity/1296498321,=,ND56.0 & XA3UC1
8,外耳道掻傷,S1,H618,MLU1,=,http://id.who.int/icd/entity/1212937040 & http://id.who.int/icd/entity/1296498321,=,ND56.0 & XA3UC1
8,外耳道掻爬傷,S1,H618,MLU1,=,http://id.who.int/icd/entity/1212937040 & http://id.who.int/icd/entity/1296498321,=,ND56.0 & XA3UC1
8,耳介後部腫瘤,L,H618,QSTN,<,http://id.who.int/icd/entity/1392122674,<,AA41.Y
8,急性滲出性中耳炎,L,H650,FBTU,=,http://id.who.int/icd/entity/223283162 ,=,AA80 
8,急性カタル性中耳炎,S1,H650,FBTU,=,http://id.who.int/icd/entity/223283162 ,=,AA80 
8,急性非化膿性中耳炎,L,H651,DJ23,=,http://id.who.int/icd/entity/1745144396 ,=,AA81
8,急性耳管鼓室カタル,S2,H651,DJ23,=,http://id.who.int/icd/entity/1745144396 & http://id.who.int/icd/entity/987893786 & http://id.who.int/icd/entity/1391287252),=,AA81  & XA7XY6  &  XA3KB2 
8,亜急性ムコイド中耳炎,L,H651,EE8H,=,http://id.who.int/icd/entity/1868355332 ,<,AA81
8,急性ムコイド中耳炎,L,H651,FGMS,=,http://id.who.int/icd/entity/223283162 ,=,AA80 
8,急性アレルギー性中耳炎,L,H651,PSJT,=,http://id.who.int/icd/entity/325703106 ,<,AA81
8,急性血性中耳炎,L,H651,RBFR,=,http://id.who.int/icd/entity/1282929571,<,AA81
8,急性漿液ムチン性中耳炎,L,H651,S20F,=,http://id.who.int/icd/entity/420562692 & http://id.who.int/icd/entity/786106375 ,<,AA81 
8,亜急性アレルギー性中耳炎,L,H651,SDTE,=,http://id.who.int/icd/entity/325703106 & http://id.who.int/icd/entity/2058324694,<,AA81 
8,亜急性血性中耳炎,L,H651,TNQE,=,http://id.who.int/icd/entity/1282929571 & http://id.who.int/icd/entity/2058324694,<,AA81
8,亜急性漿液ムチン性中耳炎,L,H651,UQKR,=,http://id.who.int/icd/entity/420562692 & http://id.who.int/icd/entity/2058324694,<,AA81 
8,慢性漿液性中耳炎,L,H652,ALKN,=,http://id.who.int/icd/entity/1996795872,<,AA82
8,慢性滲出性中耳炎,L,H652,MLSM,=,http://id.who.int/icd/entity/1996795872,<,AA82
8,慢性中耳カタル,S1,H652,MLSM,=,http://id.who.int/icd/entity/612655644,<,AA82
8,慢性カタル性中耳炎,S1,H652,MLSM,=,http://id.who.int/icd/entity/612655644,<,AA82
8,慢性耳管鼓室カタル,L,H652,NLC9,=,http://id.who.int/icd/entity/612655644,<,AA82
8,グルーイヤー,L,H653,CTG5,=,http://id.who.int/icd/entity/1461200242,<,AA82
8,慢性ムコイド中耳炎,L,H653,GPMV,=,http://id.who.int/icd/entity/2044876583 ,<,AA82
8,慢性粘液性中耳炎,S2,H653,GPMV,=,http://id.who.int/icd/entity/2044876583 ,<,AA82
8,慢性ムチン性中耳炎,S2,H653,GPMV,=,http://id.who.int/icd/entity/2044876583,<,AA82
8,慢性漏出性中耳炎,S2,H653,GPMV,=,http://id.who.int/icd/entity/1996795872,=,AA82
8,慢性漿液ムチン性中耳炎,L,H654,A933,=,http://id.who.int/icd/entity/480877235,=,AA82
8,好酸球性中耳炎,L,H654,HNJD,<,http://id.who.int/icd/entity/800153181,<,AA8Z 
8,慢性アレルギー性中耳炎,L,H654,JJ0F,=,http://id.who.int/icd/entity/2130317284,<,AA8Z 
8,慢性非化膿性中耳炎,L,H654,U0LK,=,http://id.who.int/icd/entity/168608947,<,AA8Z
8,アレルギー性中耳炎,L,H659,D2LC,=,http://id.who.int/icd/entity/800153181  ,=,AA8Z
8,非化膿性中耳炎,L,H659,EP5N,=,http://id.who.int/icd/entity/800153181  ,=,AA8Z
8,ムコーズス中耳炎,L,H659,GLJ2,<,http://id.who.int/icd/entity/529326892,<,AB0Y & XN3PW / 1C41
8,滲出性中耳炎,L,H659,LQPR,=,http://id.who.int/icd/entity/800153181 ,=,AA8Z
8,耳カタル,S1,H659,LQPR,=,http://id.who.int/icd/entity/800153181 ,=,AA8Z
8,湿性中耳炎,S1,H659,LQPR,=,http://id.who.int/icd/entity/800153181 ,=,AA8Z
8,カタル性中耳炎,S1,H659,LQPR,=,http://id.who.int/icd/entity/800153181 ,=,AA8Z
8,中耳カタル,S1,H659,LQPR,=,http://id.who.int/icd/entity/800153181 ,=,AA8Z
8,中耳耳管カタル,S1,H659,LQPR,=,http://id.who.int/icd/entity/800153181 &  http://id.who.int/icd/entity/987893786 ,=,AA8Z & XA7XY6
8,漿液性中耳炎,S1,H659,LQPR,=,http://id.who.int/icd/entity/800153181 ,=,AA8Z
8,滲出性中耳カタル,S1,H659,LQPR,=,http://id.who.int/icd/entity/800153181 ,=,AA8Z
8,漏出性中耳炎,S2,H659,LQPR,=,http://id.who.int/icd/entity/800153181 ,=,AA8Z
8,漿液ムチン性中耳炎,S2,H659,LQPR,=,http://id.who.int/icd/entity/480877235,=,AA82
8,耳管鼓室炎,L,H659,RDG9,=,http://id.who.int/icd/entity/1588903131,=, AB10.2
8,ムコイド中耳炎,L,H659,S733,=,http://id.who.int/icd/entity/800153181 ,=,AA8Z
8,中耳炎後遺症,L,H659,UA1T,=,http://id.who.int/icd/entity/800153181 & http://id.who.int/icd/entity/472249438,=,AA8Z & XT9C 
8,水疱性中耳炎,L,H660,AKGH,=,http://id.who.int/icd/entity/2070250822 ,<,AB14 
8,グラデニーゴ症候群,L,H660,GBDL,=,http://id.who.int/icd/entity/1906202113,<,9C81.2 
8,GRADENIGO症候群,S1,H660,GBDL,=,http://id.who.int/icd/entity/1906202113,<,9C81.2 
8,急性化膿性中耳炎,L,H660,V9VJ,=,http://id.who.int/icd/entity/214476774,=,AA90
8,良性慢性化膿性中耳炎,L,H661,J5BD,=,http://id.who.int/icd/entity/1770220148,=,AA91.0 
8,慢性耳管鼓室化膿性中耳炎,L,H661,SVPB,=,http://id.who.int/icd/entity/1770220148,=,AA91.0 
8,慢性耳管鼓室疾患,S2,H661,SVPB,=,http://id.who.int/icd/entity/1770220148,=,AA91.0 
8,慢性上鼓室乳突洞化膿性中耳炎,L,H662,BR5R,=,http://id.who.int/icd/entity/489568909,=,AA91.1
8,慢性上鼓室乳突洞疾患,S2,H662,BR5R,=,http://id.who.int/icd/entity/489568909,=,AA91.1
8,慢性上鼓室乳様突起洞化膿性中耳炎,S2,H662,BR5R,=,http://id.who.int/icd/entity/489568909,=,AA91.1
8,上鼓室化膿症,L,H662,TVR0,=,http://id.who.int/icd/entity/489568909,=,AA91.1
8,慢性化膿性中耳炎,L,H663,NN46,=,http://id.who.int/icd/entity/996997454 ,=,AA91.Z
8,慢性化膿性穿孔性中耳炎,L,H663,SHQJ,<,http://id.who.int/icd/entity/2019948313,<,"AA91.2
"
8,化膿性中耳炎,L,H664,K24L,=,http://id.who.int/icd/entity/1528565412,=,AA9Z
8,鼓室化膿症,S2,H664,K24L,=,http://id.who.int/icd/entity/1528565412 & http://id.who.int/icd/entity/1391287252,=,AA9Z & XA3KB2
8,化膿性再発性中耳炎,S2,H664,K24L,=,http://id.who.int/icd/entity/1528565412 & http://id.who.int/icd/entity/1721353160,=,AA9Z & XT44 
8,出血性中耳炎,L,H669,A68F,=,http://id.who.int/icd/entity/1079654421 /  http://id.who.int/icd/entity/940081636,=,AB0Z / MG27
8,慢性中耳炎術後再燃,L,H669,AQCR,=,http://id.who.int/icd/entity/38010200 & http://id.who.int/icd/entity/182265087 & http://id.who.int/icd/entity/1721353160,=,AB01 & XY7V & XT44 
8,慢性中耳炎術後増悪症,S2,H669,AQCR,<,http://id.who.int/icd/entity/38010200 & http://id.who.int/icd/entity/182265087 & http://id.who.int/icd/entity/1721353160,<,AB01 & XY7V & XT44 
8,外傷性穿孔性中耳炎,L,H669,B25T,=,http://id.who.int/icd/entity/1079654421  / http://id.who.int/icd/entity/40189874 ,=,AB0Y / NA0A.2
8,陳旧性中耳炎,L,H669,C2M1,<,http://id.who.int/icd/entity/1079654421 ,<,AB0Z
8,中耳炎,L,H669,ESB5,=,http://id.who.int/icd/entity/1079654421 ,=,AB0Z 
8,新生児中耳炎,L,H669,H3HQ,=,http://id.who.int/icd/entity/1079654421 & http://id.who.int/icd/entity/1352518340,=,AB0Z & XT16
8,慢性穿孔性中耳炎,L,H669,HMRK,=,http://id.who.int/icd/entity/38010200 / http://id.who.int/icd/entity/194676178 ,=,AB01 / AB13.Z 
8,外傷性中耳炎,L,H669,L3E8,<,http://id.who.int/icd/entity/1079654421,<,AB0Y
8,中耳炎性顔面神経麻痺,L,H669,M4QQ,=,http://id.who.int/icd/entity/1079654421 / http://id.who.int/icd/entity/2004402146,=,AB0Y / 8B88.0
8,再発性中耳炎,L,H669,QECF,=,http://id.who.int/icd/entity/1079654421  & http://id.who.int/icd/entity/1721353160,=,AB0Z & XT44 
8,反復性中耳炎,S1,H669,QECF,=,http://id.who.int/icd/entity/1079654421  & http://id.who.int/icd/entity/1721353160,=,AB0Z & XT44 
8,慢性中耳炎,L,H669,QJ82,=,http://id.who.int/icd/entity/38010200,=,AB01
8,術後性慢性中耳炎,L,H669,RUAJ,=,http://id.who.int/icd/entity/38010200 & http://id.who.int/icd/entity/182265087,=,AB01 & XY7V 
8,慢性中耳炎術後症,S1,H669,RUAJ,=,http://id.who.int/icd/entity/38010200 & http://id.who.int/icd/entity/182265087,=,AB01 & XY7V 
8,鼓室内水腫,L,H669,SAFH,=,http://id.who.int/icd/entity/1079654421 & http://id.who.int/icd/entity/1391287252 / http://id.who.int/icd/entity/826220775,=, AB0Y &XA3KB2 / MG29.Z 
8,慢性中耳炎急性増悪,L,H669,SRHN,<,http://id.who.int/icd/entity/38010200,<,AB01
8,穿孔性中耳炎,L,H669,SSBK,<,http://id.who.int/icd/entity/1079654421 / http://id.who.int/icd/entity/194676178 ,<,AB0Y/ AB13.Z 
8,単純性中耳炎,L,H669,STN3,<,http://id.who.int/icd/entity/1079654421,<,AB0Z
8,急性中耳炎,L,H669,SUN4,=,http://id.who.int/icd/entity/476505279,=,AB00
8,急性耳炎,S2,H669,SUN4,=,http://id.who.int/icd/entity/476505279,=,AB00
8,術後性中耳炎,L,H669,U9GV,=,http://id.who.int/icd/entity/1079654421 & http://id.who.int/icd/entity/182265087 ,=,AB0Z & XY7V  
8,成形術後中耳炎,S2,H669,U9GV,<,http://id.who.int/icd/entity/1079654421 & http://id.who.int/icd/entity/182265087 ,<,AB0Z & XY7V  
8,既術性中耳炎,S2,H669,U9GV,=,http://id.who.int/icd/entity/1079654421 & http://id.who.int/icd/entity/182265087 ,=,AB0Z & XY7V  
8,慢性中耳炎後遺症,L,H669,UB9N,=, http://id.who.int/icd/entity/38010200 & http://id.who.int/icd/entity/472249438,=,AB01 & XT9C
8,耳管炎,L,H680,BRT8,=,http://id.who.int/icd/entity/1588903131,=,AB10.2
8,耳管カタル,S1,H680,BRT8,=,http://id.who.int/icd/entity/2008557469,<,AB10.2
8,欧氏管炎,S1,H680,BRT8,=,http://id.who.int/icd/entity/1588903131,=,AB10.2
8,急性耳管炎,S1,H680,BRT8,=,http://id.who.int/icd/entity/1588903131 & http://id.who.int/icd/entity/786106375,=,AB10.2 & XT5R 
8,急性耳管カタル,S1,H680,BRT8,=,http://id.who.int/icd/entity/2008557469 & http://id.who.int/icd/entity/786106375,<,AB10.2 & XT5R 
8,鼻耳管炎,L,H680,DV7S,=,http://id.who.int/icd/entity/1588903131,=,AB10.2 
8,慢性耳管炎,L,H680,J474,=,http://id.who.int/icd/entity/1588903131 & http://id.who.int/icd/entity/490003542,=,AB10.2 & XT8W
8,急性扁桃耳管炎,L,H680,PPFH,<,http://id.who.int/icd/entity/1588903131  & http://id.who.int/icd/entity/786106375,<,AB10.2 & XT5R
8,耳管圧迫,L,H681,BCEF,=,http://id.who.int/icd/entity/1006596431 ,=,AB10.3
8,欧氏管圧迫症,S1,H681,BCEF,=,http://id.who.int/icd/entity/1006596431 ,=,AB10.3
8,耳管狭窄症,L,H681,LU0N,=,http://id.who.int/icd/entity/1006596431 ,=,AB10.3
8,耳管狭窄,S1,H681,LU0N,=,http://id.who.int/icd/entity/1006596431 ,=,AB10.3
8,耳管鼓室症,S1,H681,LU0N,=,http://id.who.int/icd/entity/1006596431 ,=,AB10.3
8,耳管狭窄(症),S1,H681,LU0N,=,http://id.who.int/icd/entity/1006596431,=,AB10.3
8,欧氏管狭窄症,S1,H681,LU0N,=,http://id.who.int/icd/entity/1006596431 ,=,AB10.3
8,耳管閉塞症,L,H681,NPM5,=,http://id.who.int/icd/entity/1006596431 ,=,AB10.3
8,欧氏管閉塞症,S1,H681,NPM5,=,http://id.who.int/icd/entity/1006596431 ,=,AB10.3
