ICD10 章,標準病名,代表・同義,ICD10コード,交換コード,関係,ICD11 Foundation URI,関係,MMS
2,上唇赤唇部癌,L,C000,NE1H,=,http://id.who.int/icd/entity/304997495,=,2B60.Z & XA75S0
2,上唇赤唇部がん,S1,C000,NE1H,=,http://id.who.int/icd/entity/304997495,=,2B60.Z & XA75S0
2,上唇赤唇部悪性腫瘍,S1,C000,NE1H,=,http://id.who.int/icd/entity/304997495,=,2B60.Z & XA75S0
2,下唇赤唇部癌,L,C001,RPGK,=,http://id.who.int/icd/entity/304997495,=,2B60.Z&XA7H02
2,下唇赤唇部悪性腫瘍,S1,C001,RPGK,=,http://id.who.int/icd/entity/304997495 ,=,2B60.Z&XA7H02
2,下唇赤唇部がん,S1,C001,RPGK,=,http://id.who.int/icd/entity/304997495 ,=,2B60.Z&XA7H02
2,口唇赤唇部癌,L,C002,TPK4,=,http://id.who.int/icd/entity/304997495 &  ( http://id.who.int/icd/entity/1695934880 OR http://id.who.int/icd/entity/1258739502 ),=,2B60.Z & (XA75S0 or XA7H02)
2,口唇赤唇部悪性腫瘍,S1,C002,TPK4,=,http://id.who.int/icd/entity/304997495 &  ( http://id.who.int/icd/entity/1695934880 OR http://id.who.int/icd/entity/1258739502 ),=,2B60.Z & (XA75S0 or XA7H02)
2,口唇赤唇部がん,S1,C002,TPK4,=,http://id.who.int/icd/entity/304997495 &  ( http://id.who.int/icd/entity/1695934880 OR http://id.who.int/icd/entity/1258739502 ),=,2B60.Z & (XA75S0 or XA7H02)
2,上唇腺様のう胞癌,L,C003,F1UG,=,http://id.who.int/icd/entity/304997495 & http://id.who.int/icd/entity/2127202862 ,=,2B60.Y & XA7VQ4 & XH4302
2,上唇腺様嚢胞がん,S1,C003,F1UG,=,http://id.who.int/icd/entity/304997495 & http://id.who.int/icd/entity/2127202862 ,=,2B60.Y & XA7VQ4 & XH4302
2,上唇腺様嚢胞癌,S1,C003,F1UG,=,http://id.who.int/icd/entity/304997495 & http://id.who.int/icd/entity/2127202862,=,2B60.Y & XA7VQ4 & XH4302
2,上唇腺様のう胞がん,S1,C003,F1UG,=,http://id.who.int/icd/entity/304997495 & http://id.who.int/icd/entity/2127202862,=,2B60.Y & XA7VQ4 & XH4302
2,上唇腺房細胞癌,L,C003,SJGT,=,http://id.who.int/icd/entity/304997495 & http://id.who.int/icd/entity/1322159869,=,2B60.Y&XA7VQ4&XH3PG9
2,上唇腺房細胞がん,S1,C003,SJGT,=,http://id.who.int/icd/entity/304997495 & http://id.who.int/icd/entity/1322159869,=,2B60.Y&XA7VQ4&XH3PG9
