ICD10 章,標準病名,代表・同義,ICD10コード,交換コード,関係,ICD11 Foundation URI,関係,MMS
6,インフルエンザ菌性髄膜炎,L,G000,AKS3,=,http://id.who.int/icd/entity/1005770900,=,1D01.00 
6,インフルエンザ菌髄膜炎,S1,G000,AKS3,=,http://id.who.int/icd/entity/1005770900,=,1D01.00 
6,インフルエンザ球菌髄膜炎,S1,G000,AKS3,=,http://id.who.int/icd/entity/1005770900,=,1D01.00 
6,肺炎球菌性髄膜炎,L,G001,BAT2,=,http://id.who.int/icd/entity/879178398,=,1B53 & XN3PW
6,肺炎双球菌髄膜炎,S1,G001,BAT2,=,http://id.who.int/icd/entity/879178398,<,1B53
6,連鎖球菌性髄膜炎,L,G002,G2LM,=,http://id.who.int/icd/entity/705971711,=,1B53
6,れんさ球菌性髄膜炎,S1,G002,G2LM,=,http://id.who.int/icd/entity/705971711,=,1B53
6,ぶどう球菌性髄膜炎,L,G003,C6UH,=,http://id.who.int/icd/entity/1331660907,=,1B54 
6,ブドウ球菌性髄膜炎,S1,G003,C6UH,=,http://id.who.int/icd/entity/1331660907,=,1B54 
6,ＭＲＳＡ髄膜炎,L,G003,J644,=,http://id.who.int/icd/entity/578705533,=,1B54&XN6BM 
6,MRSA髄膜炎,S0,G003,J644,=,http://id.who.int/icd/entity/578705533,=,1B54&XN6BM 
6,緑膿菌髄膜炎,L,G008,NQBB,=,http://id.who.int/icd/entity/537912379 & http://id.who.int/icd/entity/1811342866,=,1D01.0Z & XN5L6
6,大腸菌髄膜炎,L,G008,PR6V,=,http://id.who.int/icd/entity/1855224446,=,1D01.0Y & XN6P4
6,クレブシェラ性髄膜炎,L,G008,R5B5,=,http://id.who.int/icd/entity/1327378915,=,1D01.0Z & XN620
6,フリードレンダー桿菌性髄膜炎,L,G008,VHV8,=,http://id.who.int/icd/entity/26099274,=,1D01.0Y & XN741 
6,細菌性髄膜炎,L,G009,D3FR,=,http://id.who.int/icd/entity/684930313,=,1D01.0Z 
6,細菌性軟膜炎,S2,G009,D3FR,≒,http://id.who.int/icd/entity/684930313,=,1D01.0Z 
6,細菌性くも膜炎,S2,G009,D3FR,≒,http://id.who.int/icd/entity/684930313,=,1D01.0Z 
6,急性細菌性髄膜炎,L,G009,HA9C,=,http://id.who.int/icd/entity/684930313 & http://id.who.int/icd/entity/786106375,=,1D01.0Z & XT5R
6,化膿性髄膜炎,S2,G009,HA9C,=,http://id.who.int/icd/entity/1346278360,<,1D01.0Z
6,急性化膿性髄膜炎,S2,G009,HA9C,=,http://id.who.int/icd/entity/1346278360 & http://id.who.int/icd/entity/786106375,<,1D01.0Z & XT5R
6,細菌性硬膜炎,L,G009,NCH8,=,http://id.who.int/icd/entity/684930313,=,1D01.0Z 
6,原因菌不明髄膜炎,L,G009,TVEH,=,http://id.who.int/icd/entity/1346278360,<,1D01.0Z 
6,無菌性髄膜炎,L,G030,V95N,=, http://id.who.int/icd/entity/980777132,<,1D01.Z 
6,非細菌性髄膜炎,S1,G030,V95N,≒, http://id.who.int/icd/entity/980777132,<,1D01.Z 
6,非化膿性髄膜炎,S2,G030,V95N,≒, http://id.who.int/icd/entity/980777132,<,1D01.Z 
6,慢性髄膜炎,L,G031,VQ59,=,http://id.who.int/icd/entity/1597945150,=,1D01.Z & XT8W 
6,モラレ髄膜炎,L,G032,B01D,=,http://id.who.int/icd/entity/731112897,=,1D01.3
6,良性再発性髄膜炎,S2,G032,B01D,=,http://id.who.int/icd/entity/731112897,=,1D01.3
6,癒着性くも膜炎,L,G039,D19T,<,http://id.who.int/icd/entity/414817254,<,8E40.3 
6,癒着性髄膜炎,S2,G039,D19T,=,http://id.who.int/icd/entity/553062542 & http://id.who.int/icd/entity/1979147242,<,8E40.Y & XA6HA2
6,癒着性脊髄膜炎,S2,G039,D19T,=,http://id.who.int/icd/entity/553062542 & http://id.who.int/icd/entity/1284492970 ,<,8E40.Y & XA5AH0
