ICD10 章,標準病名,代表・同義,ICD10コード,交換コード,関係,ICD11 Foundation URI,関係,MMS
12,水疱性膿痂疹,L,L00,K842,=,http://id.who.int/icd/entity/1398484288,=,1B72.0
12,ぶどう球菌性熱傷様皮膚症候群,L,L00,PT1P,=,http://id.who.int/icd/entity/1554593739,=,EA50.2
12,SSSS,S1,L00,PT1P,=,http://id.who.int/icd/entity/1554593739,=,EA50.2
12,リッター型中毒性表皮え死症,S1,L00,PT1P,=,http://id.who.int/icd/entity/1554593739,=,EA50.2
12,RITTER病,S1,L00,PT1P,=,http://id.who.int/icd/entity/1554593739,=,EA50.2
12,リッター新生児剥脱状皮膚炎,S1,L00,PT1P,=,http://id.who.int/icd/entity/1554593739,=,EA50.2
12,リッター病,S1,L00,PT1P,=,http://id.who.int/icd/entity/1554593739,=,EA50.2
12,ブドウ球菌性熱傷様皮膚症候群,S1,L00,PT1P,=,http://id.who.int/icd/entity/1554593739,=,EA50.2
12,新生児天疱瘡,L,L00,RRLV,≒,http://id.who.int/icd/entity/1613800402 or http://id.who.int/icd/entity/1554593739,≒,KA07.1 or EA50.2
12,膿痂疹外耳炎,L,L010,ABVB,=,http://id.who.int/icd/entity/188082376,=,AA3Y / 1B72
12,膿痂疹,L,L010,AQ1D,=,http://id.who.int/icd/entity/971176543,=,1B72.Z
12,下肢伝染性膿痂疹,L,L010,DJT5,=,http://id.who.int/icd/entity/971176543 & http://id.who.int/icd/entity/2093217246,=,1B72.Y & XA45A6
12,痂皮性膿痂疹,L,L010,E5H8,=,http://id.who.int/icd/entity/25824900,=,1B72.1
12,外耳膿痂疹,L,L010,ERM0,=,http://id.who.int/icd/entity/188082376,=,AA3Y / 1B72
12,白色ぶどう状球菌性膿痂疹,L,L010,F76P,=,http://id.who.int/icd/entity/1398484288,=,1B72.0
12,白色ブドウ状球菌性膿痂疹,S1,L010,F76P,=,http://id.who.int/icd/entity/1398484288,=,1B72.0
12,白色葡萄状球菌性膿痂疹,S1,L010,F76P,=,http://id.who.int/icd/entity/1398484288,=,1B72.0
12,新生児膿痂疹,L,L010,G297,=,http://id.who.int/icd/entity/92952472,=,EH11
12,連鎖球菌性膿痂疹,L,L010,GPLH,=,http://id.who.int/icd/entity/971176543 & http://id.who.int/icd/entity/1997317917,=,1B72.Y & XN3NM
12,レンサ状球菌性膿痂疹,S1,L010,GPLH,=,http://id.who.int/icd/entity/971176543 & http://id.who.int/icd/entity/1997317917,=,1B72.Y & XN3NM
12,連鎖状球菌性膿痂疹,S1,L010,GPLH,=,http://id.who.int/icd/entity/971176543 & http://id.who.int/icd/entity/1997317917,=,1B72.Y & XN3NM
12,上肢伝染性膿痂疹,L,L010,HJJF,=,http://id.who.int/icd/entity/971176543 & http://id.who.int/icd/entity/986233688 ,=,1B72.Y & XA4BA8
12,好酸球性膿疱性毛包炎,L,L010,NE9U,=,http://id.who.int/icd/entity/1653155576,<,ED9Y
12,好酸球性膿疱性毛疱炎,S1,L010,NE9U,=,http://id.who.int/icd/entity/1653155576,<,ED9Y
12,全身伝染性膿痂疹,L,L010,P4JA,<,http://id.who.int/icd/entity/971176543 & http://id.who.int/icd/entity/1479602347,<,1B72.Z & XK63
12,外陰部膿痂疹,L,L010,QRV4,=,http://id.who.int/icd/entity/971176543 & http://id.who.int/icd/entity/475546725 ,=,1B72.Y & XA78U5
12,躯幹伝染性膿痂疹,L,L010,QTMU,=,http://id.who.int/icd/entity/971176543 & http://id.who.int/icd/entity/947150833,=,1B72.Y & XA3FR3
12,伝染性膿痂疹,L,L010,T14B,=,http://id.who.int/icd/entity/971176543,=,1B72.Z
12,とびひ,S1,L010,T14B,=,http://id.who.int/icd/entity/971176543,=,1B72.Z
12,ボックハルト膿痂疹,L,L010,TB9A,=,http://id.who.int/icd/entity/1929235891,=,1B74.0
12,顔面膿痂疹,L,L010,TBCD,=,http://id.who.int/icd/entity/971176543 & http://id.who.int/icd/entity/968129184,=,1B72.Y & XA86S4 
12,顔面膿痂疹性湿疹,L,L011,A4UF,=,http://id.who.int/icd/entity/2034126013 & http://id.who.int/icd/entity/968129184 ,=,1B72.2 & XA86S4
12,全身膿痂疹性湿疹,L,L011,FL21,<,http://id.who.int/icd/entity/2034126013  ,<,1B72.2
12,躯幹膿痂疹性湿疹,L,L011,J2QQ,=,http://id.who.int/icd/entity/2034126013 & http://id.who.int/icd/entity/947150833,=,1B72.2 & XA3FR3
12,殿部膿痂疹性湿疹,L,L011,JMAR,=,http://id.who.int/icd/entity/2034126013 & http://id.who.int/icd/entity/1894266247,=,1B72.2 & XA3VA7 
12,頭部膿痂疹性湿疹,L,L011,LANH,=,http://id.who.int/icd/entity/2034126013 & http://id.who.int/icd/entity/1357976561,=,1B72.2 & XA20Q1
12,膿痂疹性湿疹,L,L011,PPAN,=,http://id.who.int/icd/entity/2034126013  ,=,1B72.2
12,膿痂疹様発疹,S1,L011,PPAN,=,http://id.who.int/icd/entity/2034126013  ,=,1B72.2
12,膿痂疹様湿疹,S1,L011,PPAN,=,http://id.who.int/icd/entity/2034126013  ,=,1B72.2
12,膿痂疹性皮膚炎,S1,L011,PPAN,=,http://id.who.int/icd/entity/2034126013  ,=,1B72.2
12,上肢膿痂疹性湿疹,L,L011,VH7S,=,http://id.who.int/icd/entity/2034126013 &  http://id.who.int/icd/entity/986233688,=,1B72.2 & XA4BA8
12,頬部膿瘍,L,L020,L1U8,=,http://id.who.int/icd/entity/1324834502 & http://id.who.int/icd/entity/1286369458,=,1B75.3 & XA7MK8 
12,頬部皮下膿瘍,S1,L020,L1U8,=,http://id.who.int/icd/entity/1324834502 & http://id.who.int/icd/entity/1286369458,=,1B75.3 & XA7MK8 
12,下顎部膿瘍,L,L020,N4DD,=,http://id.who.int/icd/entity/1324834502 & http://id.who.int/icd/entity/1535382642,=,1B75.3 & XA8KA2
12,下顎皮下膿瘍,S1,L020,N4DD,=,http://id.who.int/icd/entity/1324834502 & http://id.who.int/icd/entity/1535382642,=,1B75.3 & XA8KA2
12,下顎部皮下膿瘍,S1,L020,N4DD,=,http://id.who.int/icd/entity/1324834502 & http://id.who.int/icd/entity/1535382642,=,1B75.3 & XA8KA2
12,顔面よう,L,L020,PD20,=,http://id.who.int/icd/entity/1456834066 & http://id.who.int/icd/entity/968129184,=,1B75.1 & XA86S4
12,前額部膿瘍,L,L020,PNSP,=,http://id.who.int/icd/entity/1324834502 & http://id.who.int/icd/entity/862454798,=,1B75.3 & XA6TR8
12,顔面せつ,L,L020,SL0P,=,http://id.who.int/icd/entity/1081137172 & http://id.who.int/icd/entity/968129184,=,1B75.0 &  XA86S4
