ICD10 章,標準病名,代表・同義,ICD10コード,交換コード,関係,ICD11 Foundation URI,関係,MMS
15,腹膜妊娠,L,O000,LD9M,=,http://id.who.int/icd/entity/1396448570,=,JA01.0 
15,腹腔内妊娠,S1,O000,LD9M,=,http://id.who.int/icd/entity/1396448570,=,JA01.0 
15,腹腔妊娠,S1,O000,LD9M,=,http://id.who.int/icd/entity/1396448570,=,JA01.0 
15,卵管膨大部妊娠,L,O001,GGD4,=,http://id.who.int/icd/entity/913821868,=,JA01.1
15,卵管峡部妊娠,L,O001,HA4S,=,http://id.who.int/icd/entity/913821868,=,JA01.1
15,卵管狭窄妊娠,S1,O001,HA4S,=,http://id.who.int/icd/entity/913821868,=,JA01.1
15,卵管妊娠破裂,L,O001,NMDL,=,http://id.who.int/icd/entity/913821868,=,JA01.1
15,卵管妊娠,L,O001,NSCS,=,http://id.who.int/icd/entity/913821868,=,JA01.1
15,卵管間質部妊娠,L,O001,PN4J,=,http://id.who.int/icd/entity/232469447,<,JA01.Y
15,子宮卵管間質部妊娠,S1,O001,PN4J,=,http://id.who.int/icd/entity/913821868,=,JA01.1
15,卵管流産,L,O001,U52U,=,http://id.who.int/icd/entity/913821868,=,JA01.1
15,卵巣妊娠,L,O002,HBR1,=,http://id.who.int/icd/entity/1121615955,=,JA01.2 
15,子宮頚管妊娠,L,O008,HF5S,=,http://id.who.int/icd/entity/514389732,<,JA01.Y 
15,頸管妊娠,S1,O008,HF5S,=,http://id.who.int/icd/entity/514389732,<,JA01.Y 
15,頚管妊娠,S1,O008,HF5S,=,http://id.who.int/icd/entity/514389732,<,JA01.Y 
15,子宮頸管妊娠,S1,O008,HF5S,=,http://id.who.int/icd/entity/514389732,<,JA01.Y 
15,子宮筋層内妊娠,L,O008,M5L0,=,http://id.who.int/icd/entity/1759864548,<,JA01.Y
15,子宮広間膜内妊娠,L,O008,R41G,=,http://id.who.int/icd/entity/1036098211,<,JA01.Y
15,副角妊娠,L,O008,SGKL,=,http://id.who.int/icd/entity/42419141,<,JA01.Y 
15,子宮副角妊娠,S1,O008,SGKL,=,http://id.who.int/icd/entity/42419141,<,JA01.Y 
15,副角子宮妊娠,S1,O008,SGKL,=,http://id.who.int/icd/entity/42419141,<,JA01.Y 
15,異所性妊娠,L,O009,RSVV,=,http://id.who.int/icd/entity/1563334645,=,JA01.Z
15,外妊,S1,O009,RSVV,=,http://id.who.int/icd/entity/1563334645,=,JA01.Z 
15,異所妊娠,S1,O009,RSVV,=,http://id.who.int/icd/entity/1563334645,=,JA01.Z 
15,子宮外妊娠,S1,O009,RSVV,=,http://id.who.int/icd/entity/1563334645,=,JA01.Z 
15,非侵入全奇胎,L,O010,D7S6,=,http://id.who.int/icd/entity/1338299833,=,JA02.0 
15,胎児共存奇胎,L,O010,JDQK,<,http://id.who.int/icd/entity/1338299833,<,JA02.0 
15,全胞状奇胎,L,O010,VCDV,=,http://id.who.int/icd/entity/1338299833,=,JA02.0 
