ICD10 章,標準病名,代表・同義,ICD10コード,交換コード,関係,ICD11 Foundation URI,関係,MMS
7,麦粒腫,L,H000,BH69,=,http://id.who.int/icd/entity/1259721857 ,=,9A01.2Z 
7,眼瞼麦粒腫,S1,H000,BH69,=,http://id.who.int/icd/entity/1259721857 ,=,9A01.2Z 
7,ものもらい,S1,H000,BH69,=,http://id.who.int/icd/entity/1259721857 ,=,9A01.2Z 
7,眼瞼膿瘍,S2,H000,BH69,=,http://id.who.int/icd/entity/247839673,=,9A01.1 
7,上眼瞼部せつ,S2,H000,BH69,=,http://id.who.int/icd/entity/1921810289,=,9A01.1&XA9K79
7,眼瞼せつ,S2,H000,BH69,=,http://id.who.int/icd/entity/247839673,=,9A01.1 
7,下眼瞼蜂巣炎,L,H000,DES1,=,http://id.who.int/icd/entity/1489677992 & http://id.who.int/icd/entity/1468820019 ,=,9A01.0 & XA0JV9
7,下眼瞼蜂窩織炎,S1,H000,DES1,=,http://id.who.int/icd/entity/1489677992 & http://id.who.int/icd/entity/1468820019 ,=,9A01.0 & XA0JV9
7,マイボーム腺炎,L,H000,FKFM,=,http://id.who.int/icd/entity/1804498477 ,=,9A01.21 
7,瞼板腺炎,S1,H000,FKFM,=,http://id.who.int/icd/entity/1804498477 ,=,9A01.21 
7,マイボーム腺膿瘍,S2,H000,FKFM,=,http://id.who.int/icd/entity/1804498477,=,9A01.21
7,眼瞼蜂巣炎,L,H000,GFSG,=,"http://id.who.int/icd/entity/1489677992 & 
http://id.who.int/icd/entity/1142633691 ",=,9A01.0 & XA3RB1
7,眼瞼フレグモーネ,S1,H000,GFSG,=,"http://id.who.int/icd/entity/1489677992 & 
http://id.who.int/icd/entity/1142633691 ",=,9A01.0 & XA3RB1
7,眼瞼蜂窩織炎,S1,H000,GFSG,=,"http://id.who.int/icd/entity/1489677992 & 
http://id.who.int/icd/entity/1142633691 ",=,9A01.0 & XA3RB1
7,内麦粒腫,L,H000,N2TV,=,http://id.who.int/icd/entity/1804498477,=,9A01.21 
7,外麦粒腫,L,H000,NLQK,=,http://id.who.int/icd/entity/522397394,=,9A01.20
