ICD10 章,標準病名,代表・同義,ICD10コード,交換コード,関係,ICD11 Foundation URI,関係,MMS
5,急性発症の血管性認知症,L,F010,GJBP,=,http://id.who.int/icd/entity/1365258270 & http://id.who.int/icd/entity/1385443355,=,6D81 & XT3Z
5,ＣＡＲＡＳＩＬ,L,F011,ESGR,=,http://id.who.int/icd/entity/984450655,=,8B22.C1
5,皮質認知症,L,F011,RG8F,=,http://id.who.int/icd/entity/645643099,<,6D81
5,ＣＡＤＡＳＩＬ,L,F011,T756,=,http://id.who.int/icd/entity/1621899838,=,8B22.C0
5,多発梗塞性認知症,L,F011,TK8A,=,http://id.who.int/icd/entity/645643099,<,6D81
5,皮質下認知症,L,F012,CLFQ,=,http://id.who.int/icd/entity/2078986772,<,6D81
5,血管性認知症,L,F019,D5F4,=,http://id.who.int/icd/entity/1365258270,=,6D81
5,動脈硬化性認知症,S1,F019,D5F4,=,http://id.who.int/icd/entity/1365258270,=,6D81
5,老年期認知症妄想型,L,F03,CC70,=,http://id.who.int/icd/entity/759326836 / http://id.who.int/icd/entity/932028588　,<,6D8Z / MB26.0Z
5,初老期認知症,L,F03,DSMU,=,http://id.who.int/icd/entity/133826396,<,6D8Z
5,初老期痴呆,S1,F03,DSMU,=,http://id.who.int/icd/entity/133826396,<,6D8Z
5,二次性認知症,L,F03,F20B,<,http://id.who.int/icd/entity/546689346,<,6D8Z 
5,老年期認知症,L,F03,MSD4,=,http://id.who.int/icd/entity/1038351310,<,6D8Z
5,老年認知症,S1,F03,MSD4,=,http://id.who.int/icd/entity/1038351310,<,6D8Z
5,初老期精神病,L,F03,P04F,=,http://id.who.int/icd/entity/2084912553,<,6D8Z
5,初老期精神障害,S1,F03,P04F,=,http://id.who.int/icd/entity/2084912553,<,6D8Z
5,老年精神病,L,F03,PP2M,=,http://id.who.int/icd/entity/546689346,=,6D8Z
5,老年期妄想状態,L,F03,PTGJ,=,http://id.who.int/icd/entity/932028588 & http://id.who.int/icd/entity/1276541597,=,MB26.0Z & XT13
5,初老期妄想状態,L,F03,RC2N,=,http://id.who.int/icd/entity/932028588 & http://id.who.int/icd/entity/1733780743,=,MB26.0Z & XT19
5,老年期うつ病,L,F03,RPRU,=,http://id.who.int/icd/entity/546689346,=,6D8Z 
5,原発性認知症,L,F03,S5RU,=,http://id.who.int/icd/entity/1722135299,<,6D8Y
5,原発性変性認知症,S1,F03,S5RU,=,http://id.who.int/icd/entity/1722135299,<,6D8Y
5,原発性変性痴呆,S1,F03,S5RU,,,,
5,脳器質性認知症,S2,F03,S5RU,<,http://id.who.int/icd/entity/546689346,<,6D8Y
5,脳器質性痴呆,S2,F03,S5RU,,,,
5,老年期認知症抑うつ型,L,F03,USUQ,<,http://id.who.int/icd/entity/546689346,<,6D8Z
5,老年期痴呆抑うつ型,S1,F03,USUQ,,,,
5,抑うつ型老年期痴呆,S1,F03,USUQ,,,,
