ICD10 章,標準病名,代表・同義,ICD10コード,交換コード,関係,ICD11 Foundation URI,関係,MMS
14,急性びまん性膜性糸球体腎炎,L,N002,AFCH,=,http://id.who.int/icd/entity/817733606 & http://id.who.int/icd/entity/786106375,<,MF8Y & XT5R  
14,急性びまん性メサンギウム増殖性糸球体腎炎,L,N003,MEA4,=,http://id.who.int/icd/entity/1932151457 / http://id.who.int/icd/entity/1017635638,<,GB40  & XT5R / MF8Y    
14,急性びまん性管内増殖性糸球体腎炎,L,N004,PNQ7,=,http://id.who.int/icd/entity/1932151457 /http://id.who.int/icd/entity/1817105154,<,GB40  & XT5R / MF8Y    
14,急性デンスデポジット病,L,N006,C0JQ,=,http://id.who.int/icd/entity/1932151457 / http://id.who.int/icd/entity/1041399919,<,GB40  & XT5R / MF8Y    
14,急性びまん性半月体形成性糸球体腎炎,L,N007,QNPP,=,http://id.who.int/icd/entity/1932151457 / http://id.who.int/icd/entity/2129549609,<,GB40  & XT5R / MF8Y    
14,急性糸球体腎炎,L,N009,LNNL,=,http://id.who.int/icd/entity/1932151457,<,GB40 & XT5R
14,急性腎炎,S1,N009,LNNL,=,http://id.who.int/icd/entity/1783829886,=,GB40
14,急性腎炎症候群,S2,N009,LNNL,=,http://id.who.int/icd/entity/1932151457,=,GB40 & XT5R
14,溶連菌感染後急性糸球体腎炎,L,N009,NBHS,=,http://id.who.int/icd/entity/1932151457 / http://id.who.int/icd/entity/197614812,<,GB40 & XT5R / 1C41 &  XN3NM 
14,溶連菌感染後急性腎炎,S1,N009,NBHS,=,http://id.who.int/icd/entity/1783829886 / http://id.who.int/icd/entity/197614812,=,GB40 / 1C41 & XN3NM
14,溶連菌感染後糸球体腎炎,S1,N009,NBHS,=,http://id.who.int/icd/entity/1932151457 / http://id.who.int/icd/entity/197614812,<,GB40 & XT5R /1C41 &  XN3NM 
14,急速進行性びまん性膜性糸球体腎炎,L,N012,THJH,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/817733606,<,GB40 & XT5R / MF8Y
14,急速進行性びまん性管内増殖性糸球体腎炎,L,N014,J7JN,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/1817105154,<,GB40 & XT5R / MF8Y
14,急速進行性デンスデポジット病,L,N016,H13U,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/1041399919,<,GB40 & XT5R / MF8Y
14,抗糸球体基底膜腎炎,L,N017,LBA6,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/591736785,<,GB40 & XT5R / MF85
14,抗糸球体基底膜抗体型急速進行性糸球体腎炎,S1,N017,LBA6,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/591736785,<,GB40 & XT5R / MF85
14,抗GBM抗体型腎炎,S1,N017,LBA6,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/591736785,<,GB40 & XT5R / MF85
14,抗GBM抗体型急速進行性糸球体腎炎,S1,N017,LBA6,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/591736785,<,GB40 & XT5R / MF85
14,特発性半月体形成性糸球体腎炎,L,N017,LMVR,<,http://id.who.int/icd/entity/1084292542 & http://id.who.int/icd/entity/894194405  / http://id.who.int/icd/entity/2129549609,<,GB40 & XB5F / MF8Y   
14,特発性壊死性半月体形成性糸球体腎炎,S1,N017,LMVR,<,http://id.who.int/icd/entity/1084292542 & http://id.who.int/icd/entity/894194405 / http://id.who.int/icd/entity/1677729549,<,GB40 & XB5F / MF8Y   
14,特発性壊死性半月体形成性腎炎,S1,N017,LMVR,<,http://id.who.int/icd/entity/1084292542 & http://id.who.int/icd/entity/894194405 / http://id.who.int/icd/entity/1677729549,<,GB40 & XB5F / MF8Y   
14,ＡＮＣＡ関連腎炎,L,N017,NQ7G,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/1404622826,<,GB40 / 4A44.AZ      
14,ANCA関連腎炎,S0,N017,NQ7G,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/1404622826,<,GB40 / 4A44.AZ      
14,ANCA関連糸球体腎炎,S1,N017,NQ7G,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/1404622826,<,GB40 / 4A44.AZ      
14,急速進行性びまん性半月体形成性糸球体腎炎,L,N017,VLQK,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/2129549609,<,GB40 & XT5R / MF8Y
14,急速進行性半月体形成性糸球体腎炎,S1,N017,VLQK,=,http://id.who.int/icd/entity/1084292542 / http://id.who.int/icd/entity/2129549609,<,GB40 & XT5R / MF8Y
